epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,335.262,1.47703,2.83527,1.22914,0.00638,0.93176,0.18317,0.09792,1.26377,3.57328,1.06126,0.000541044,0.000541044,0.000541044
2,730.165,1.41492,1.84635,1.17535,0.93461,0.3263,0.55227,0.33203,1.3992,2.69136,1.1422,0.001075,0.001075,0.001075
3,1081.25,1.42314,1.67114,1.20583,0.79854,0.4385,0.65109,0.34166,1.4684,2.4674,1.20444,0.00158694,0.00158694,0.00158694
4,1442.93,1.41297,1.57391,1.20316,0.70523,0.66409,0.69909,0.37787,1.48418,1.8109,1.19804,0.00156798,0.00156798,0.00156798
5,1802.42,1.37229,1.42653,1.17568,0.68446,0.69382,0.7181,0.41268,1.40455,1.54867,1.22618,0.00153497,0.00153497,0.00153497
6,2154.61,1.3696,1.304,1.16721,0.65768,0.69205,0.66544,0.38408,1.42532,1.61145,1.19655,0.00150197,0.00150197,0.00150197
7,2513.31,1.36223,1.24825,1.18267,0.71642,0.69953,0.7348,0.42665,1.41138,1.33409,1.20362,0.00146896,0.00146896,0.00146896
8,2870.53,1.33604,1.16746,1.15109,0.79433,0.75367,0.78951,0.46258,1.37826,1.18664,1.18985,0.00143595,0.00143595,0.00143595
9,3229.88,1.32435,1.12856,1.16011,0.65002,0.76243,0.74979,0.43338,1.38936,1.16374,1.16398,0.00140295,0.00140295,0.00140295
10,3584.07,1.32171,1.11699,1.13999,0.736,0.76067,0.78926,0.46021,1.39194,1.11341,1.16103,0.00136994,0.00136994,0.00136994
11,3940.84,1.29329,1.08292,1.13224,0.78249,0.73912,0.77064,0.43973,1.44,1.12507,1.19241,0.00133693,0.00133693,0.00133693
12,4298.12,1.30945,1.03988,1.13607,0.73558,0.76805,0.75389,0.43451,1.43935,1.07611,1.20505,0.00130393,0.00130393,0.00130393
13,4663.29,1.24609,0.9575,1.125,0.69262,0.77119,0.75476,0.41575,1.41945,1.1024,1.21314,0.00127092,0.00127092,0.00127092
